cell_type,gene,tier,polarity,source,notes
T,CD3D,core,positive,curated,
T,CD3E,core,positive,curated,
T,TRAC,core,positive,curated,
T,CD2,core,positive,curated,
T,LCK,core,positive,curated,
T,IL7R,core,positive,curated,common in naive/memory CD4 T

B,MS4A1,core,positive,curated,CD20
B,CD79A,core,positive,curated,
B,CD74,core,positive,curated,
B,CD19,core,positive,curated,
B,IGKC,core,positive,curated,

NK,NKG7,core,positive,curated,
NK,GNLY,core,positive,curated,
NK,KLRD1,core,positive,curated,CD94
NK,PRF1,core,positive,curated,
NK,GZMB,core,positive,curated,

Mono,LYZ,core,positive,curated,
Mono,LST1,core,positive,curated,
Mono,S100A8,core,positive,curated,
Mono,S100A9,core,positive,curated,
Mono,CTSS,core,positive,curated,

DC,FCER1A,core,positive,curated,cDC2-enriched
DC,CST3,core,positive,curated,
DC,HLA-DRA,core,positive,curated,
DC,ITGAX,core,positive,curated,CD11c

Platelet,PPBP,core,positive,curated,
Platelet,PF4,core,positive,curated,
Platelet,NRGN,core,positive,curated,
Platelet,TUBB1,core,positive,curated,
